"","PSID","Gene","Module"
"TBC1D10C","TBC1D10C","TBC1D10C","MsAge7K_00"
"TACR3","TACR3","TACR3","MsAge7K_05"
"NKX2-1","NKX2-1","NKX2-1","MsAge7K_06"
"IER2","IER2","IER2","MsAge7K_13"
"PPL","PPL","PPL","MsAge7K_00"
"ADAMTS13","ADAMTS13","ADAMTS13","MsAge7K_00"
"WDR86","WDR86","WDR86","MsAge7K_00"
"LYVE1","LYVE1","LYVE1","MsAge7K_00"
"BTN2A2","BTN2A2","BTN2A2","MsAge7K_00"
"PLXDC1","PLXDC1","PLXDC1","MsAge7K_02"
"CLCF1","CLCF1","CLCF1","MsAge7K_00"
"LST1","LST1","LST1","MsAge7K_00"
"PIDD1","PIDD1","PIDD1","MsAge7K_00"
"SAMD9L","SAMD9L","SAMD9L","MsAge7K_04"
"SP7","SP7","SP7","MsAge7K_01"
"RNF17","RNF17","RNF17","MsAge7K_00"
"ALPK2","ALPK2","ALPK2","MsAge7K_12"
"CD4","CD4","CD4","MsAge7K_00"
"LRRC74B","LRRC74B","LRRC74B","MsAge7K_14"
"TEX13D","TEX13D","TEX13D","MsAge7K_11"
"TEX13C","TEX13C","TEX13C","MsAge7K_11"
"ERVW-1","ERVW-1","ERVW-1","MsAge7K_00"
"MAL","MAL","MAL","MsAge7K_01"
"DNAH11","DNAH11","DNAH11","MsAge7K_14"
"KCNK5","KCNK5","KCNK5","MsAge7K_00"
"FRMPD2","FRMPD2","FRMPD2","MsAge7K_14"
"CASQ1","CASQ1","CASQ1","MsAge7K_00"
"KCNA5","KCNA5","KCNA5","MsAge7K_00"
"TTC16","TTC16","TTC16","MsAge7K_00"
"TNFSF13B","TNFSF13B","TNFSF13B","MsAge7K_00"
"SERPINE1","SERPINE1","SERPINE1","MsAge7K_00"
"TACR1","TACR1","TACR1","MsAge7K_00"
"THBS4","THBS4","THBS4","MsAge7K_00"
"COL23A1","COL23A1","COL23A1","MsAge7K_05"
"PDZD3","PDZD3","PDZD3","MsAge7K_00"
"TRDN","TRDN","TRDN","MsAge7K_00"
"TTLL6","TTLL6","TTLL6","MsAge7K_00"
"NTS","NTS","NTS","MsAge7K_00"
"CYP26B1","CYP26B1","CYP26B1","MsAge7K_11"
"ANKRD66","ANKRD66","ANKRD66","MsAge7K_14"
"C7orf57","C7orf57","C7orf57","MsAge7K_00"
"C22orf15","C22orf15","C22orf15","MsAge7K_00"
"IL36G","IL36G","IL36G","MsAge7K_00"
"TRPM6","TRPM6","TRPM6","MsAge7K_00"
"TMPRSS11A","TMPRSS11A","TMPRSS11A","MsAge7K_00"
"GPR6","GPR6","GPR6","MsAge7K_02"
"GPR50","GPR50","GPR50","MsAge7K_00"
"UNC13C","UNC13C","UNC13C","MsAge7K_02"
"LIN28B","LIN28B","LIN28B","MsAge7K_00"
"ADAMTS18","ADAMTS18","ADAMTS18","MsAge7K_00"
"DNAH7","DNAH7","DNAH7","MsAge7K_00"
"SLC38A5","SLC38A5","SLC38A5","MsAge7K_00"
"GHRL","GHRL","GHRL","MsAge7K_03"
"FABP7","FABP7","FABP7","MsAge7K_01"
"APOC1","APOC1","APOC1","MsAge7K_00"
"FREM3","FREM3","FREM3","MsAge7K_00"
"ECT2","ECT2","ECT2","MsAge7K_00"
"ARL4D","ARL4D","ARL4D","MsAge7K_00"
"MAP4K1","MAP4K1","MAP4K1","MsAge7K_00"
"NUPR1","NUPR1","NUPR1","MsAge7K_07"
"PRPH","PRPH","PRPH","MsAge7K_02"
"CHN2","CHN2","CHN2","MsAge7K_00"
"EYA2","EYA2","EYA2","MsAge7K_07"
"TBX15","TBX15","TBX15","MsAge7K_00"
"UCMA","UCMA","UCMA","MsAge7K_00"
"F13A1","F13A1","F13A1","MsAge7K_00"
"AP1M2","AP1M2","AP1M2","MsAge7K_00"
"LRRC36","LRRC36","LRRC36","MsAge7K_14"
"CD48","CD48","CD48","MsAge7K_04"
"SSPO","SSPO","SSPO","MsAge7K_01"
"TM6SF2","TM6SF2","TM6SF2","MsAge7K_00"
"TMIE","TMIE","TMIE","MsAge7K_00"
"GCNT4","GCNT4","GCNT4","MsAge7K_02"
"ADAMTS12","ADAMTS12","ADAMTS12","MsAge7K_00"
"SPATA18","SPATA18","SPATA18","MsAge7K_14"
"CNMD","CNMD","CNMD","MsAge7K_00"
"ZNF704","ZNF704","ZNF704","MsAge7K_03"
"OTOF","OTOF","OTOF","MsAge7K_00"
"EFEMP1","EFEMP1","EFEMP1","MsAge7K_00"
"ACAP1","ACAP1","ACAP1","MsAge7K_14"
"ISG20","ISG20","ISG20","MsAge7K_00"
"IL1RAPL2","IL1RAPL2","IL1RAPL2","MsAge7K_02"
"RGS16","RGS16","RGS16","MsAge7K_00"
"NCF1","NCF1","NCF1","MsAge7K_00"
"HEXB","HEXB","HEXB","MsAge7K_00"
"TLR1","TLR1","TLR1","MsAge7K_00"
"CNN1","CNN1","CNN1","MsAge7K_07"
"MYLK3","MYLK3","MYLK3","MsAge7K_11"
"DRD1","DRD1","DRD1","MsAge7K_02"
