"","GeneL","modulesA1L"
"502","EHHADH","MsAge7K_00"
"503","PIK3R5","MsAge7K_00"
"504","PHF11","MsAge7K_00"
"505","DNAH6","MsAge7K_14"
"506","PRDM1","MsAge7K_00"
"507","VAX1","MsAge7K_06"
"508","TRIM13","MsAge7K_00"
"509","NRG4","MsAge7K_00"
"510","CD209","MsAge7K_00"
"511","C6orf222","MsAge7K_05"
"512","LY6G6F","MsAge7K_00"
"513","RARRES2","MsAge7K_14"
"514","CD274","MsAge7K_00"
"515","TSPAN11","MsAge7K_00"
"516","IGSF9","MsAge7K_00"
"517","FYB1","MsAge7K_00"
"518","ZNF366","MsAge7K_00"
"519","BMP3","MsAge7K_02"
"520","SLC6A19","MsAge7K_00"
"521","C3orf62","MsAge7K_00"
"522","NIPAL4","MsAge7K_01"
"523","FAM166B","MsAge7K_00"
"524","EN2","MsAge7K_00"
"525","CALCR","MsAge7K_06"
"526","ODF3B","MsAge7K_14"
"527","SNTN","MsAge7K_14"
"528","TBX3","MsAge7K_00"
"529","FST","MsAge7K_00"
"530","EQTN","MsAge7K_00"
"531","B3GNT5","MsAge7K_00"
"532","CES5A","MsAge7K_00"
"533","EVA1B","MsAge7K_00"
"534","CHST3","MsAge7K_01"
"535","FSIP1","MsAge7K_00"
"536","REEP3","MsAge7K_00"
"537","TAP1","MsAge7K_04"
"538","TCAF2","MsAge7K_00"
"539","TCAF2C","MsAge7K_00"
"540","UNC5CL","MsAge7K_00"
"541","ESR1","MsAge7K_05"
"542","TTF2","MsAge7K_00"
"543","SNAI2","MsAge7K_00"
"544","UPK1A","MsAge7K_00"
"545","OCA2","MsAge7K_00"
"546","C5AR2","MsAge7K_00"
"547","NID1","MsAge7K_00"
"548","NLRC5","MsAge7K_00"
"549","CPED1","MsAge7K_07"
"550","SNORD104","MsAge7K_00"
"551","NEIL3","MsAge7K_00"
"552","OAS2","MsAge7K_04"
"553","RTL3","MsAge7K_00"
"554","KIF19","MsAge7K_01"
"555","TMEM91","MsAge7K_00"
"556","KIF11","MsAge7K_00"
"557","GABRE","MsAge7K_00"
"558","KRT2","MsAge7K_00"
"559","GRB7","MsAge7K_02"
"560","SLC6A20","MsAge7K_07"
"561","ACP7","MsAge7K_05"
"562","C7","MsAge7K_00"
"563","THBS1","MsAge7K_00"
"564","FHOD3","MsAge7K_02"
"565","TMEM102","MsAge7K_00"
"566","TBX18","MsAge7K_07"
"567","TMEM267","MsAge7K_00"
"568","PLP1","MsAge7K_01"
"569","FAM47E","MsAge7K_00"
"570","FAM47E-STBD1","MsAge7K_00"
"571","LSP1","MsAge7K_04"
"572","C2orf73","MsAge7K_00"
"573","DAPK2","MsAge7K_00"
"574","RASSF6","MsAge7K_00"
"575","CDKN1A","MsAge7K_00"
